tolerancia,robot,metodo_A,metodo_B,n_pares,n_total_poses,pct_del_total,W_stat,p_value_raw,estado,p_value_holm,reject_H0_holm_0.05
e2,antro,PSO,QPSO,984,1000,98.4,28710.0,8.503023005262366e-127,ok,2.3808464414734623e-125,True
e2,antro,PSO,SVD,960,1000,96.0,1668.0,2.0077108110378705e-156,ok,6.424674595321186e-155,True
e2,antro,PSO,HYBRID,982,1000,98.2,25234.0,1.6527794947559332e-130,ok,4.793060534792206e-129,True
e2,antro,QPSO,SVD,976,1000,97.6,16.0,2.8654238749488323e-161,ok,1.0315525949815796e-159,True
e2,antro,QPSO,HYBRID,998,1000,99.8,3865.0,7.226618080054392e-160,ok,2.4570501472184935e-158,True
e2,antro,SVD,HYBRID,976,1000,97.6,215929.0,0.010784534499074221,ok,0.043138137996296885,True
e2,Standford,PSO,QPSO,283,1000,28.3,19732.0,0.793336504465142,ok,0.793336504465142,False
e2,Standford,PSO,SVD,303,1000,30.3,4560.0,1.0605422867138425e-33,ok,1.696867658742148e-32,True
e2,Standford,PSO,HYBRID,361,1000,36.1,9831.0,1.1604818218890188e-30,ok,1.6246745506446264e-29,True
e2,Standford,QPSO,SVD,312,1000,31.2,3389.0,1.082667155526382e-39,ok,2.165334311052764e-38,True
e2,Standford,QPSO,HYBRID,369,1000,36.9,7261.0,3.053042905575414e-39,ok,5.800781520593287e-38,True
e2,Standford,SVD,HYBRID,570,1000,57.0,48112.0,2.810878128928519e-17,ok,2.8108781289285194e-16,True
e2,DLR,PSO,QPSO,237,1000,23.7,13154.0,0.3698479278789839,ok,0.7396958557579678,False
e2,DLR,PSO,SVD,395,1000,39.5,132.0,4.883772720893928e-66,ok,1.1232677258056036e-64,True
e2,DLR,PSO,HYBRID,395,1000,39.5,5661.0,4.164751906923631e-49,ok,8.745979004539626e-48,True
e2,DLR,QPSO,SVD,570,1000,57.0,0.0,4.714854301753129e-95,ok,1.178713575438282e-93,True
e2,DLR,QPSO,HYBRID,570,1000,57.0,3269.0,1.0158389375425242e-87,ok,2.438013450102058e-86,True
e2,DLR,SVD,HYBRID,1000,1000,100.0,26048.0,5.304995774898659e-133,ok,1.5914987324695979e-131,True
e3,antro,PSO,QPSO,940,1000,94.0,25780.0,9.820363925689438e-122,ok,2.553294620679254e-120,True
e3,antro,PSO,SVD,916,1000,91.6,18.0,1.7652164667918e-151,ok,5.47217104705458e-150,True
e3,antro,PSO,HYBRID,938,1000,93.8,23378.0,2.5919404634751784e-124,ok,6.998239251382982e-123,True
e3,antro,QPSO,SVD,974,1000,97.4,0.0,5.7806698284703295e-161,ok,2.0232344399646153e-159,True
e3,antro,QPSO,HYBRID,996,1000,99.6,4516.0,1.0788163246313954e-158,ok,3.560093871283605e-157,True
e3,antro,SVD,HYBRID,976,1000,97.6,156499.0,1.454839194202041e-20,ok,1.600323113622245e-19,True
e3,Standford,PSO,QPSO,32,1000,3.2,187.0,0.1544793052598834,ok,0.4634379157796502,False
e3,Standford,PSO,SVD,101,1000,10.1,260.0,4.361641084898732e-15,ok,3.9254769764088587e-14,True
e3,Standford,PSO,HYBRID,144,1000,14.4,1972.0,9.325430111733246e-11,ok,7.460344089386597e-10,True
e3,Standford,QPSO,SVD,54,1000,5.4,32.0,9.501905695515216e-10,ok,6.651333986860651e-09,True
e3,Standford,QPSO,HYBRID,85,1000,8.5,690.0,6.220089592959335e-07,ok,3.7320537557756013e-06,True
e3,Standford,SVD,HYBRID,393,1000,39.3,11764.0,5.862032339376595e-33,ok,8.793048509064893e-32,True
e3,DLR,PSO,QPSO,62,1000,6.2,318.0,3.8971821785850356e-06,ok,1.948591089292518e-05,True
e3,DLR,PSO,SVD,172,1000,17.2,0.0,5.617383373553283e-30,ok,7.302598385619267e-29,True
e3,DLR,PSO,HYBRID,172,1000,17.2,464.0,1.4870708101600364e-26,ok,1.7844849721920437e-25,True
e3,DLR,QPSO,SVD,224,1000,22.4,0.0,1.676003330727112e-38,ok,3.0168059953088017e-37,True
e3,DLR,QPSO,HYBRID,226,1000,22.6,105.0,3.174613708349785e-38,ok,5.396843304194634e-37,True
e3,DLR,SVD,HYBRID,992,1000,99.2,104198.5,8.142626129482561e-56,ok,1.7913777484861634e-54,True
